cefr_level,translation
C1,"Si no tienes nada que hacer, mira el techo de tu habitación."
A1,¡No significa nada!
A2,"Por favor, ten paciencia. Toma tiempo."
B2,Cierra la puerta cuando salgas.
A1,Esta es una historia tan triste.
C1,"Si no hay solución, entonces no hay problema."
A1,Mi hermanito está viendo la televisión.
C2,Es presuntuoso que los humanos asuman que nuestra tarea es hacer lo que solo Dios puede hacer.
C2,"Un lector astuto debería estar dispuesto a sopesar todo lo que lee, incluidas las fuentes anónimas."
C1,"Negando ser anarquista, Katja sostenía que solo deseaba hacer cambios en nuestro gobierno, no destruirlo."
C2,"La ceguera es responsable de un asombroso costo en salud deficiente, sufrimiento, pérdida de dignidad y disminución en la calidad de vida de las personas en todo el mundo."
C2,"La formación y el movimiento de los huracanes son caprichosos, incluso con nuestra tecnología actual."
B2,"Cuando envías un telegrama, la brevedad es esencial porque te cobrarán por cada palabra."
C2,"David tiene un gran interés en la estética: las cualidades que hacen que una pintura, escultura, composición musical o poema sean agradables a la vista, al oído o a la mente."
B2,"A pesar de las constantes afirmaciones de amor de Trang, Spenser sigue temiendo que algún día ella deje de amarlo."
B1,¿Lo conociste en la universidad?
A1,¡Aaah! ¡Mi computadora está rota!
C1,Las universidades y colegios privados de Estados Unidos son autónomos.
B1,"Cada vez que me uno a un nuevo juego de Warcraft, me enfrento a un nuevo equipo de adversarios."
B1,"Desde el momento en que supe que la universidad existía, he querido ir allí."
C1,Mi apatía hacia votar proviene de mi desagrado por la política.
C2,La ascendencia de los monarcas es lo que mantiene a sus súbditos alejados de la rebelión.
C1,Sarah fue lo suficientemente perspicaz como para darse cuenta de que sus amigos estaban tratando de hacerle una broma.
B1,La orquesta hace ruidos discordantes al afinar.
C1,La discrepancia entre las versiones de las dos partes involucradas en el accidente era tan grande que las autoridades tuvieron dificultades para decidir cuál de los lados decía la verdad.
B1,"Sí, sucede de vez en cuando."
C1,Tengo un gran miedo de ser despreciado por aquellos a quienes amo y me importan.
C1,"La mayoría de las personas tienen una gran desinclinación a levantarse de la cama temprano, incluso si tienen que hacerlo."
C1,La mayoría de las personas solo quieren escuchar su propia verdad.
B1,El público aclamó a los actores por su actuación.
B1,Es bueno tener ideales... ¿no crees?
B1,El estudiante decidió resumir su trabajo eliminando detalles innecesarios.
C1,Las personas en el mundo siempre están abogando por más libertad e igualdad.
C1,Los políticos siempre son censurados por comportamientos escandalosos o inapropiados.
C1,La señora Eichler tenía una reputación notoria por ser austera con sus estudiantes.
C1,"Si no nos escuchas, tendremos que recurrir a la coerción."
B2,"Cuando tengo migrañas, la aspirina no alivia el dolor para mí."
C2,Los comentarios sarcásticos y bromistas de Spenser a menudo se malinterpretan como signos de ambivalencia y se toman demasiado en serio.
C1,Mi madre prefiere la selección arbitraria de las máquinas de lotería en lugar de mis números de la suerte.
C2,"Para él, el hambre era un concepto abstracto; siempre tenía suficiente para comer."
C1,El narcotraficante condenado estaba dispuesto a colaborar con las autoridades para que su pena de muerte se convirtiera en una cadena perpetua.
C1,Considero que los testigos de Jehová que tocan mi puerta todo el tiempo no son diferentes de los fanáticos religiosos que intentan imponerme sus creencias.
C2,La guerra en Irak es un tema volátil de debate político; cualquier palabra equivocada podría desencadenar una acalorada discusión.
C1,Mi vecino de al lado es un virtuoso cuyas habilidades con el piano le han ganado un nombre entre los expertos en música.
C1,Estaba cansado de ser vilipendiado todo el tiempo por personas que tenían celos de su habilidad.
B1,Sven era tan hablador que sus amigos terminaron llamándolo un charlatán.
C1,Incluso las personas que no creen en la iglesia católica veneran al Papa como un líder simbólico.
C1,"Insegura de cuál pretendiente quería casarse, la princesa vacilaba, diciendo ahora uno, ahora el otro."
C2,"Con el rey sin herederos volviéndose loco y la familia real envenenada, el general del ejército finalmente tuvo su oportunidad de usurpar el trono."
C2,Los recientes escándalos que involucran a monaguillos y líderes religiosos han socavado la fe que la gente tiene en la Iglesia.
B2,"A medida que el avión se acercaba a la turbulencia, el piloto pidió a los pasajeros a bordo que se abrocharan los cinturones de seguridad."
C2,Hay una delgada línea entre un discurso que es conciso y directo y uno que es demasiado brusco.
C1,"Aunque su estancia en Europa fue transitoria, Spenser sintió que había aprendido mucho más sobre las interacciones con otras personas al viajar que en la universidad."
C1,"Jason era una persona taciturna, por lo que siempre era una verdadera sorpresa cuando decía algo."
B1,"El rey estaba cansado de sus aduladores siempre alabándolo, así que los despidió."
B1,Spenser no le contaría a nadie su plan secreto para vengarse de sus amigos por hacerle una broma.
C1,"Si Spenser no sigue añadiendo y traduciendo oraciones, los otros colaboradores seguramente lo superarán."
C1,Siempre había demasiada escritura superflua en sus ensayos.
C1,"Su ensayo ofreció solo un análisis superficial del problema, por lo que fue una verdadera sorpresa para él cuando obtuvo la mejor calificación de la clase."
C2,"Depende de lo que quieras decir con ""creer"" en Dios."
C1,"Los profesores deberían explicar todo en detalle, no ser concisos y siempre decirles a los estudiantes que se vayan a casa a leer sus libros."
C1,"Si no hubiera dado respuesta, no habría hablado."
C2,Los fiscales en el tribunal deben fundamentar sus afirmaciones para demostrar que un sospechoso es culpable.
C1,Las personas que aparecen en el programa de Maury Povich a menudo hacen afirmaciones pretenciosas sobre sus parejas engañándolos.
C2,"Es una creencia generalizada, según una encuesta nacional en los Estados Unidos, que los musulmanes están vinculados al terrorismo."
C1,"Mi compañero de cuarto es derrochador cuando se trata de gastar dinero en películas; las compra el mismo día de su estreno, sin importar el precio."
C1,El lenguaje profano utilizado en la televisión por cable hace que muchos padres con niños pequeños no quieran suscribirse.
C2,Las ideas de Freud sobre el comportamiento humano lo llevaron a ser reconocido como un pensador profundo.
C1,La comida y la bebida se sirvieron en tal profusión en la boda que la novia y el novio comenzaron a preguntarse si no deberían haber invitado a más invitados.
C1,La proliferación del uso de Internet ha dado lugar a una nueva generación de jóvenes.
B1,"Mis amigos dicen que soy un escritor prolífico, pero no he escrito nada en meses."
C2,Las personas ciegas a veces desarrollan una habilidad compensatoria para percibir la proximidad de los objetos que las rodean.
C1,"Un avaro acumula dinero no porque sea prudente, sino porque es codicioso."
B2,"Cuando ambas chicas le dijeron a John que tenían sentimientos por él, se encontró en un dilema sobre con cuál de ellas debería estar."
C1,"Incluso ahora, muchos años después de la Guerra Fría, todavía hay mucho rencor entre los rusos y los alemanes, especialmente en las áreas que una vez fueron ocupadas por la Unión Soviética."
C1,El abogado defensor estaba seguro de que podría responder a los argumentos del fiscal en su réplica.
C1,Johnson es un recluso; prefiere aislarse del resto de los estudiantes en nuestra clase.
B1,Los maestros deben cansarse de corregir los mismos errores una y otra vez en los trabajos de sus estudiantes.
C1,Las botellas de cerveza que llevé a la fiesta eran redundantes; la familia del anfitrión tenía una cervecería.
B2,Los testigos pudieron refutar el falso testimonio del sospechoso.
B1,El líder del gremio relegó a Vince a un cargo menor porque estaba abusando de su poder.
C2,Juana de Arco se negó a renunciar a su creencia de que la voz que escuchaba era de Dios y de nadie más.
C2,"Conmovidos por los eventos del 11 de septiembre, los políticos de todo el mundo condenaron a los terroristas por su acto reprobable."
B1,James tenía un gran miedo a cometer errores en clase y ser reprendido.
B1,El director reprendía severamente a los estudiantes cada vez que hacían un desorden en el pasillo.
C1,Mis padres repudiarían a mi hermano si alguna vez descubrieran que es gay.
C1,"Para evitar que su idea original fuera copiada, Henry recurrió a la reticencia."
C1,Me gustaría retractarme de mi declaración anterior.
C1,"Para ganar a su audiencia, el orador recurrió a utilizar técnicas retóricas que aprendió en sus cursos de comunicación."
B2,Su padre nunca aprobaría su compromiso con una chica que no compartiera las mismas creencias religiosas que su familia.
B1,Tim es un gran fan de la comedia satírica.
C1,"Aunque Alfred es meticuloso en cumplir con sus deberes en el trabajo, es menos concienzudo con sus obligaciones en casa."
B1,La madre de Spenser a menudo lo examina por cada pequeño error que comete.
C1,"Todos los súbditos del rey, temiendo su ira, a menudo actuaban de manera bastante servil."
C1,Las personas suelen ser bastante escépticas sobre las cosas a menos que se les presente una prueba creíble.
B2,"Por la expresión sombría del doctor, estaba claro que tenía malas noticias para el paciente."
B1,Siempre tengo que revisar mi jardín en busca de charcos de agua estancada para que los mosquitos no se reproduzcan allí.
B1,A veces tiene dificultad para expresar sus opiniones de manera clara.
C1,"Peter era un jugador de videojuegos altruista; daba objetos a las personas que los necesitaban, en lugar de venderlos para obtener ganancias personales."
B2,Jimmy intentó persuadir a sus padres para que le dejaran conducir por todo el país con sus amigos.
C2,Las personas censuradoras se deleitan en echar la culpa.
C1,Los artistas pop prosperan gracias a la adoración de sus leales fans.
C1,Debemos aprender a enfrentar la adversidad con gracia.
C2,Bill Clinton habló en un lenguaje ambiguo cuando se le preguntó sobre su relación con Monica Lewinsky.
B1,Era un anciano benevolente que se ofrecía como voluntario para cortar el césped de sus vecinos de forma gratuita.
C1,Su tono severo y su voz fuerte ocultaban su sensibilidad interior y su naturaleza cariñosa.
C2,El joven rico y hedonista se sentía extrañamente atraído por la vida estricta y ascética que llevaban los miembros de algunas órdenes monásticas.
C1,La estatua del Minute Man conmemora a los valientes soldados que lucharon en la Guerra de Independencia.
C2,"Perplejo por los enigmáticos comentarios de Sherlock Holmes, Watson se preguntó si Holmes estaba ocultando intencionadamente sus pensamientos sobre el crimen."
C1,¿Qué criterio utilizaste al elegir este ensayo como el ganador?
C1,Los estafadores se aprovechan de la credulidad de los inversores inexpertos y los engañan para robarles su dinero.
A2,No puedo bailar ni un solo paso de salsa.
C1,"Incluso si tus oraciones fueran realmente sin sentido, al menos tienes la suerte de poder formar oraciones hermosas."
A2,Me gusta mucho mi trabajo.
C1,"Ray estaba dispuesto a corroborar la historia de Gary, pero la policía seguía sin estar convencida de que alguno de ellos estuviera diciendo la verdad."
B1,El asesino fue condenado y sentenciado a cadena perpetua.
B1,"A veces, los jugadores de hockey se vuelven tan competitivos que estallan peleas."
C1,Había una sensación de restricción en la sala; nadie se atrevía a decirle al rey lo tonto que era su decisión.
C1,El consenso indica que estamos en contra de la idea propuesta.
C2,Un pequeño incendio forestal puede propagarse fácilmente y convertirse rápidamente en una gran conflagración.
C1,"A pesar de haber cumplido su condena en prisión, el asesino nunca fue del todo perdonado por el público por su crimen."
C1,Encuentro que las palabras con definiciones concisas son las más fáciles de recordar.
C1,Aún estaba enojado por el accidente a pesar de las palabras conciliadoras de su esposa.
C2,Un examen superficial de sus dientes indicó que tenía gingivitis.
B1,Fue una sorpresa ver a todos los estudiantes comportándose con decoro en la noche del baile de graduación.
C1,"El artículo de noticias retrató al acusado como un hombre culpable, a pesar de que se había demostrado su inocencia."
C1,El político impulsó la reforma denunciando la corrupción de los funcionarios del gobierno.
C2,La depravación de los actos del rey llevó al pueblo a creer que no era más que un tirano que necesitaba ser derrocado.
B1,Soñé contigo.
A2,Tengo que conseguir una computadora nueva.
A2,¡No voy a perder!
B1,Llegué tarde a la escuela.
A1,Las clases están por comenzar de nuevo pronto.
A2,Creo que voy a estornudar. Dame un pañuelo.
B1,"Por un momento, pensé que se había vuelto loco."
B1,Este día fue solo una pérdida de tiempo y dinero.
B1,Me tomó por sorpresa; no sabía qué hacer.
B1,¡Pero nunca me has hablado de esto!
B1,He cambiado el diseño de mi sitio web.
B1,"Cuando somos pequeños, todo parece tan grande."
A1,Él no me vencerá.
B2,Tengo que hacer la colada mientras todavía esté soleado.
B2,"Lo siento, no creo que pueda."
B1,Tuviste mucho tiempo.
A2,¡Deja de criticarme!
A2,"¡Vamos! Háblame, Trang."
B1,Casi he terminado.
A1,¡Toma la otra silla!
A1,¿Cuántos sándwiches quedan?
B1,Ya no estoy inspirado.
C1,No me rebajaré a su nivel.
B1,Podíamos ver la puesta de sol desde la ventana.
B1,Me está volviendo loco.
B1,¿Dijiste que nunca podría ganar?
A1,Está todo oscuro afuera.
B1,¿Qué pasó? Hay agua por todo el apartamento.
B1,"Durante las vacaciones de verano, cenaba a medianoche."
A2,Puedes terminar tu ensayo ahora.
B1,"Dirás y harás cosas que tus padres dijeron e hicieron, incluso si juraste que nunca lo harías."
B2,Estoy vivo aunque no estoy dando ninguna señal de vida.
C1,Nunca intentes morir.
C1,Soy demasiado viejo para este mundo.
C2,La vida comienza cuando nos damos cuenta de quiénes somos realmente.
C1,La vida comienza cuando decides qué esperas de ella.
C1,La vida comienza cuando pagas impuestos.
C1,Lo que no tienes es mejor que lo que sí tienes.
C2,La vida comienza cuando estás listo para vivirla.
B1,Nunca es demasiado tarde para aprender.
B2,"Son solo las cinco de la mañana, pero aun así hay luz."
B1,Él me contó la historia de su vida.
B1,Nunca dije que era frágil.
C2,Me pregunto si estoy hecho para este mundo.
A2,¿De qué estás hablando?
A1,Quiero un dulce.
B1,Sabía que hoy sería divertido.
C2,"Un niño no es un recipiente para llenar, sino un fuego que encender."
C2,"Lamentablemente, muchas personas creerán cosas que se les dicen a través de un correo electrónico que encontrarían implausibles en persona."
C1,"Puede sonar descabellado, pero este es un problema real."
C2,"La policía es muy buena para entender ""Alguien robó mi tarjeta de crédito y acumuló muchos cargos."" Es mucho más difícil hacer que crean en ""Alguien robó mi espada mágica."""
A2,¿Cuando comemos? ¡Tengo hambre!
A1,Tengo clase mañana.
A2,¡No puedo creerlo!
A1,"""Gracias."" ""De nada."""
A1,"¿Cómo se pronuncia ""pronounce""?"
A1,El invierno es mi estación favorita.
B1,Es difícil tener grandes ideas.
C2,Los datos sugieren que la duración óptima de una conferencia puede ser de 30 en lugar de 60 minutos.
B1,Suelo mirar las imágenes antes de leer el texto.
B1,Aprendí mucho de ti.
A1,Caminamos mucho.
B1,Pasé doce horas en el tren.
B1,Ella se enfermó este fin de semana.
A1,"Espera, alguien está tocando a mi puerta."
A1,Él es rico. ¡No necesita dinero!
A2,Él está durmiendo como un bebé.
B1,Están haciendo demasiado ruido. No puedo concentrarme.
A2,Quiero un masaje. Necesito relajarme.
A2,Estás enfermo. Tienes que descansar.
A1,Hay un camino secreto a la izquierda.
C2,Smith ha pasado años estudiando los efectos del sueño y la falta de sueño en la memoria y el aprendizaje.
B1,Ella está pidiendo lo imposible.
B1,Desapareció sin dejar rastro.
A2,Puedo colocar las palmas de mis manos en el suelo sin doblar las rodillas.
C1,No puede haber progreso sin comunicación.
C1,Todo el mundo quisiera creer que los sueños pueden hacerse realidad.
C1,La mejor manera de hacer realidad tus sueños es despertarte.
B1,El mundo no gira a tu alrededor.
B1,El mundo está lleno de tontos.
B1,¿Estás diciendo que mi vida está en peligro?
B1,¿Tienes alguna idea de cómo es mi vida?
B1,Este lugar tiene una atmósfera misteriosa.
C1,Espero con interés conocer tus opiniones sobre este asunto.
B1,¿Y qué si soy gay? ¿Es un crimen?
B1,Mi vida es vacía sin él.
A2,No quiero fallar mis exámenes.
B1,Mi madre compró dos botellas de jugo de naranja.
A1,Ella llevaba un sombrero negro.
B1,Hicimos panqueques para el desayuno.
B1,Pasé toda la tarde charlando con amigos.
A2,Quiero ser más independiente.
B1,¿Vas a quedarte parado ahí todo el día?
A1,Un conejo tiene orejas largas y una cola corta.
B1,Mi corazón estaba lleno de felicidad.
B1,Él desea borrar los malos recuerdos.
B1,"Señor, no se le permite estacionar su coche aquí."
B1,Tu secreto estará a salvo conmigo.
A2,No quiero escuchar más de tus quejas.
B2,Diles que me llamen antes de que se vayan.
C1,Deberías haber rechazado una propuesta tan injusta.
B1,No tengo la fuerza para seguir intentando.
C1,Las matemáticas no son solo la memorización de fórmulas.
B1,No quise darte esa impresión.
A1,¡Sí! ¡Gané dos veces seguidas!
A2,Estoy cansado de comer comida rápida.
B1,Estoy enfermo y cansado de estar enfermo y cansado.
A2,No puedo esperar para irme de vacaciones.
B1,Las habitaciones de este hotel son realmente muy malas para amortiguar los sonidos. ¡Puedo escuchar a mi vecino masticando su chicle!
C2,La esencia de las matemáticas es la libertad.
B1,¿Puedes imaginar cómo sería nuestra vida sin electricidad?
A1,¿Dónde está el baño?
C1,"Si le prestas a alguien 20 dólares y nunca vuelves a ver a esa persona, probablemente valió la pena."
C2,La esencia de la libertad es la matemática.
C1,Su historia era demasiado ridícula para que alguien la creyera.
A2,¿Cuántas horas de sueño necesitas?
A2,Cada persona es un mundo.
B1,Tengo nacionalidad francesa pero orígenes vietnamitas.
B1,Es muy frustrante intentar encontrar tus gafas cuando no puedes ver nada sin ellas.
B1,¿Crees que la humanidad colonizará algún día la Luna?
C1,¿Qué canciones famosas desearías haber compuesto y por qué?
B1,"Voy a comprarme una cámara nueva, digital esta vez."
A2,Estoy loco por ti.
A2,No sé qué es peor.
C1,La vida en prisión es peor que la vida de un animal.
B1,Estoy orgulloso de ser parte de este proyecto.
C2,La belleza está en los ojos de quien la mira.
A1,¿Quién compra este tipo de arte?
C2,¿Por qué no podemos hacernos cosquillas a nosotros mismos?
C1,La respuesta nos lleva a un círculo vicioso.
B1,Estoy demasiado perezoso para hacer mi tarea.
B1,¿Qué... todavía no sabes conducir?
A1,¿Ya tienes barba?
B1,Siento que soy libre.
C2,La libertad no es gratuita.
B1,Creé un acceso directo en el escritorio.
A2,¡Quiero un reproductor de MP3!
B1,Mi hermano es muy importante. Al menos él cree que lo es.
B2,"Mientras comía una pizza, estaba molestando a su hermana."
C1,"A este ritmo, es poco probable que terminemos antes de que acabe la semana."
C1,Supongo que mi perspectiva sobre la amistad es bastante sombría porque nunca he tenido que depender de nadie para nada.
A2,¿¡Qué?! ¿¡Te comiste mi oso de chocolate!?
B1,"No, no puedo dejarte entrar, hay una persona de más."
A1,¿Dónde estás?
A2,Te hará comer tierra.
C2,Tiene una cara como un mes de domingos lluviosos.
C1,"¡Santo cielo, quién es el idiota que se atreve a llamarme en medio de la noche?!"
B1,Él acaba de publicar una interesante serie de artículos.
A2,¡Me haces enojar!
A2,¡De ninguna manera!
A2,Es un callejón sin salida.
C1,No necesariamente confío en las traducciones.
C2,Compartir la pasión de uno es vivirla plenamente.
B1,"Anteayer impresionaste a todos, pero yo ya te conocía."
C1,"Si te mostrara mi casa, mi vecindario de entonces, ¿entenderías de dónde soy?"
C2,"¡La vida no es larga, es ancha!"
B1,"Cuando tenía tu edad, Plutón era un planeta."
C1,Ella está al borde de un colapso nervioso.
A1,Los elefantes son los animales terrestres más grandes que existen hoy en día.
C1,"Si me enseñas a bailar, te mostraré mis cicatrices ocultas."
C2,Los ascensores en un rascacielos son sistemas vitales.
B1,Las frutas y verduras son esenciales para una dieta equilibrada.
A1,"El queso es un alimento sólido hecho de la leche de vacas, cabras, ovejas y otros mamíferos."
C2,"Todavía no me gustan Cavalieri, Tonelli ni Fubini... y mi examen oral de cálculo ya es mañana."
A2,Normalmente me ducho por la tarde.
B1,Pasó la tarde leyendo un libro.
B1,Has estado pensando en este problema toda la mañana. Tómate un descanso; ve a almorzar.
C1,"Si no lo hago ahora, nunca lo haré."
A1,Buenas noches. Dulces sueños.
B2,Esta canción es tan conmovedora que me hace llorar.
B1,Hay muchas cosas que no sabes sobre mi personalidad.
B2,"Quizás tienes razón, he sido egoísta."
B1,Todos merecen una segunda oportunidad.
B2,"Cuando pedimos dinero prestado, debemos ponernos de acuerdo en las condiciones."
B1,¿Cuál es la ventaja de esta tecnología?
B2,"Si no tienes este programa, puedes descargarlo ahora."
B1,El titular llamó mi atención esta mañana.
B1,Gonzales ofrece una bicicleta a todos sus empleados en Europa.
B1,Hay 1000 películas que uno debe ver antes de morir.
C1,"Me han dicho que soy pragmático, y lo soy."
B2,"Prefiero buscar una solución a los problemas, no solo reportarlos."
B1,Me estoy quedando sin ideas.
C2,"Las siete preguntas que un ingeniero debe hacerse son: quién, qué, cuándo, dónde, por qué, cómo y cuánto."
C2,¿Todavía te preguntas cuál es el significado de la vida?
C2,¿Cuándo se puede decir que una persona tiene problemas con el alcohol?
A2,Recuerda que todos estamos en el mismo barco.
C2,"Todo lo que necesito saber sobre la vida, lo aprendí de un muñeco de nieve."
B1,Verifica que tu nombre de usuario y contraseña estén escritos correctamente.
B1,Las despedidas siempre son tristes.
A2,¡No te olvides de nosotros!
B1,El tiempo ha pasado muy rápido.
A1,¿Cuál es tu equipaje?
A1,"Abre el armario a la izquierda, las botellas están ahí."
B1,También hay discotecas donde se baila flamenco.
A1,La entrada incluye una bebida.
B2,Sugiero que salgamos el viernes.
A2,Así mato dos pájaros de un tiro.
A2,¿Tienes experiencia profesional?
A2,¿Cuánto se deja de propina en España?
A1,¿Quién pintó esta pintura?
B1,"A esta hora, hay un tráfico increíble."
B1,Nosotros los hombres estamos acostumbrados a esperar a las mujeres.
B2,¿No te da vergüenza hablar así?
A2,"Ahora tengo que irme, están llamando para mi vuelo."
A1,Él es argentino y da clases de tenis.
A2,"Por favor, ¿puedes indicarme esto en el mapa?"
A1,El grifo está goteando.
A2,"Por favor, díganos dónde hay un supermercado."
A2,Estoy embarazada de cuatro meses.
A1,Tengo un marcapasos.
A2,Me gustaría baterías para este dispositivo.
A2,¿Puedo pagar con tarjeta de crédito?
A2,"Corta, lava y seca, por favor."
A2,Alimento a mi gato todas las mañanas y todas las noches.
A2,"¿Podrías repetir eso, por favor?"
B1,"En general, ¿quién visita más a sus padres, los hijos o las hijas?"
C1,"Por supuesto, sería más barato para ti dormir en nuestra casa."
A1,Lo encontrarás en una ferretería.
C1,Todo esfuerzo merece una recompensa.
A2,Cuesta un ojo de la cara.
C2,Más del 90 por ciento de las visitas a una página web provienen de motores de búsqueda.
A2,Necesito tu consejo.
A2,¿Tienes alguna idea de dónde puse mis llaves?
B1,Me estoy preparando para lo peor.
B1,¿Por qué me despertaste para decirme algo tan importante? ¡Ahora nunca podré concentrarme en mi trabajo!
B1,Eso suena interesante. ¿Qué le dijiste?
A1,¿Dónde está tu veinte? Te doy cinco dólares por él.
B2,"Poco a poco, notarás mejoras en tus escritos."
B1,"Sabía que era plástico, pero sabía a madera."
B1,"A veces, Spenser se preocupa tanto por Trang que la lleva a creer que está siendo sobreprotector."
C2,Hay cosas en este mundo que simplemente no se pueden expresar con palabras.
C2,La forma más pérfida de dañar una causa consiste en defenderla deliberadamente con argumentos defectuosos.
A1,Cuídate mucho.
C1,"Mientras se sienta en la oscuridad, tecleando en su computadora, escucha el sonido de los pájaros matutinos cantando y se da cuenta de que ha estado despierto toda la noche, pero el insomne aún se niega a dormir."
C1,"Por más que lo intentes, no puedes imponer una creencia a otra persona, y mucho menos a ti mismo."
C2,Las funciones seno y coseno toman valores entre -1 y 1 (incluyendo -1 y 1).
C2,Estoy en contra de usar la muerte como castigo. También estoy en contra de usarla como recompensa.
C2,La segunda mitad de la vida de un hombre está compuesta únicamente por los hábitos que ha adquirido durante la primera mitad.
A2,¿Puedo quedarme en tu casa? No tengo a dónde ir.
C2,"Según un nuevo informe, las niñas tienen más probabilidades que los niños de estar desnutridas, sufrir pobreza, enfrentar violencia y ser privadas de educación."
C1,"Si tan solo dejáramos de intentar ser felices, podríamos pasar un buen rato."
C2,"El 18 de mayo, una joven pareja japonesa fue arrestada después de que su bebé de un año fuera encontrado envuelto en una bolsa de plástico y arrojado en una cuneta."
C2,"Estamos atormentados por una vida ideal, y es porque llevamos dentro de nosotros el comienzo y la posibilidad de alcanzarla."
C2,"La muerte es solo un horizonte, y un horizonte no es más que el límite de nuestra vista."
C2,La teoría científica que más me gusta es que los anillos de Saturno están compuestos enteramente de equipaje perdido.
C2,La única forma en la Tierra de multiplicar la felicidad es dividirla.
C2,Un error conocido es mejor que una verdad desconocida.
C2,"La vida no es una ciencia exacta, es un arte."
C2,Todo es teóricamente imposible hasta que se hace.
C1,"Hasta que hagas las paces con quien eres, nunca estarás contento con lo que tienes."
C1,"Puedes sentirte decepcionado si fracasas, pero estás condenado si no lo intentas."
C2,"El aburrimiento es la sensación de que todo es una pérdida de tiempo; la serenidad, que nada lo es."
C1,"Nunca pierdas de vista la importancia de un hermoso amanecer, de ver a tus hijos dormir o del olor de la lluvia. A menudo son las pequeñas cosas las que realmente importan en la vida."
C2,No hay distancia en esta tierra tan lejana como ayer.
C2,Solo aquellos que se arriesgan a ir demasiado lejos sabrán hasta dónde se puede llegar.
C2,Cada hombre toma los límites de su propio campo de visión como los límites del mundo.
C2,Podemos viajar en el tiempo. Y lo hacemos a la notable velocidad de un segundo por segundo.
C2,"El verdadero problema no es si las máquinas piensan, sino si los hombres lo hacen."
C1,Mi interés está en el futuro porque voy a pasar el resto de mi vida allí.
C2,"El mundo es un libro, y aquellos que no viajan solo leen una página."
C1,¡El problema con muchas cosas son las ideas preconcebidas que tenemos sobre ellas!
C2,La mejor manera de predecir el futuro es inventarlo.
C2,La publicidad puede describirse como la ciencia de detener la inteligencia humana el tiempo suficiente para obtener dinero de ella.
C2,"Si supiéramos lo que estamos haciendo, no se llamaría investigación, ¿verdad?"
C2,"Para el hombre que solo tiene un martillo en su caja de herramientas, cada problema parece un clavo."
C2,Nada es imposible para el hombre que no tiene que hacerlo él mismo.
C2,Esa es la cuestión con las personas que piensan que odian las computadoras. Lo que realmente odian son los programadores mediocres.
C2,"No es el más fuerte de la especie el que sobrevive, ni el más inteligente, sino el que más se adapta al cambio."
B2,"Creo que es bueno que los libros sigan existiendo, pero me hacen sentir sueño."
C2,No puedo entender por qué la gente tiene miedo a las nuevas ideas. Yo tengo miedo de las viejas.
C2,La esperanza no es una estrategia.
B1,"Japón está lleno de ciudades hermosas. Kioto y Nara, por ejemplo."
A2,Te están esperando frente a la puerta.
A2,¿Tienes un bolígrafo contigo?
A1,¿De quién es esto?
B1,"Como Mario me mintió, ya no le hablo."
A1,Es una buena oferta.
A2,Recoge tus cosas y vete.
A1,¡Baja las manos!
A2,"El que ríe último, ríe mejor."
B2,"Cuanto antes, mejor."
B1,No parece de su edad.
A2,¿Te gusta el rap?
A2,Me encantan los viajes.
B1,Realmente no esperaba eso de ti.
B1,He estado esperando durante horas.
B1,Él murió a una edad muy avanzada.
A1,Es un veterano.
A1,Ese es el problema.
C2,"Somos lo que pretendemos ser, así que debemos tener cuidado con lo que pretendemos ser."
A1,No lo conozco.
A2,Me gustó esta película.
A2,Ella está nadando en dinero.
A1,No es importante.
A2,No me importa.
B1,Estaba a punto de salir cuando sonó el teléfono.
A2,Mira con atención. Te voy a mostrar cómo se hace.
B1,La gente debería entender que el mundo está cambiando.
C2,"El habla es plata, pero el silencio es oro."
C2,El cincuenta y dos por ciento de las mujeres británicas prefieren el chocolate al sexo.
A2,No me gustan estos comentarios.
B2,No estoy convencido en absoluto.
A2,¿Por qué quieres irte hoy?
A1,Voy a llevar mi coche.
B2,Es demasiado bueno para ser verdad.
C2,No puedes lograr lo imposible sin intentar lo absurdo.
C2,"Debes contar solo contigo mismo, pero incluso entonces, no demasiado."
C1,Estar en silencio en clase es respetar el sueño de los demás.
C2,La lógica es un método sistemático para llegar a la conclusión equivocada con confianza.
C2,El axioma de Cole: La suma de la inteligencia en el planeta es una constante; la población está creciendo.
C1,La gente aceptará tu idea mucho más fácilmente si les dices que Benjamin Franklin la dijo primero.
C2,"Si ves a un hombre acercándose a ti con la clara intención de hacerte el bien, deberías correr por tu vida."
C2,Aprendemos por experiencia que los hombres nunca aprenden nada de la experiencia.
A2,Más vale tarde que nunca.
A2,"De tal palo, tal astilla."
A2,"A quien madruga, Dios le ayuda."
B1,En la vida hay altibajos.
C2,Todos los gatos son grises en la oscuridad.
A2,Enséñame cómo lo haces.
A2,"No hay noticias, son buenas noticias."
C2,"La riqueza llega a quienes hacen que las cosas sucedan, no a quienes dejan que las cosas sucedan."
C1,"Si piensas que la educación es cara, espera a ver lo que te cuesta la ignorancia."
A1,¡Lo esperaba!
C2,El mundo se divide en personas que hacen las cosas y personas que se llevan el crédito.
B1,No espero nada de ti.
A1,Espera en la sala de espera.
C2,Más personas se meten en problemas por lo que dicen que por lo que hacen.
UNKNOWN,"Las personas que te mentirán por ti, también te mentirán a ti."
C1,No hay duda.
C2,No hay ninguna solución.
